Date,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,WCH.DE,ZAL.DE
2017-03-21,656873,93101,1286073,1950094,1813530,337986,2667179,244405,13528209,506649,79043,41242880,3235113.0,7945084,,,24136519,1742190,1717190,362335,155039,4280630,5120402,419184,152382,1017664,,569718,378844,114589,4182345,2013551,,2043366,114101,284149,1304614,1853013,120797,483479
2017-03-22,747970,130966,1394193,2212207,1880956,518173,1645875,305148,13090803,397985,133411,18641823,2901471.0,7086220,,,25728721,820100,979387,381953,136547,4613596,7101885,408378,176336,605866,,661691,252658,128344,2944524,1889334,,2539651,92623,296462,1678814,1274602,124087,312812
2017-03-23,567642,64979,1486121,1757609,1550386,232463,1391640,184460,13114912,455589,87696,16960623,2666688.0,6577905,,,10744019,680879,738943,364533,127297,3323875,4023752,307943,147802,626116,,413447,281099,234826,4521036,1828465,,1907572,65690,260850,1731193,1033466,99560,304676
2017-03-24,421676,52688,1691779,2026974,1633811,249694,1565883,147652,11403397,505507,62805,13218175,2244684.0,6825834,,,14770906,511326,734288,306978,82438,15474444,3692820,732760,102801,529309,,451184,295018,436504,5570948,1426279,,1760345,55104,184014,1195997,772526,179299,340742
2017-03-27,624775,69370,1325611,1788573,1468564,235928,1424345,264182,10253328,358667,70982,14769361,2528446.0,6950603,,,13601249,453500,930713,330210,114259,6836706,4530182,396944,180036,457927,,647658,260407,183826,3986366,2362049,,1632157,46084,281413,1249835,995025,170100,240846
2017-03-28,503175,115186,1075442,1594134,2082819,346297,1719210,158654,15757685,608474,64034,16644258,2494486.0,6359296,,,15912006,504254,863856,323836,81107,4613372,5111919,334307,121653,725835,,453394,227231,253262,5271823,1754223,,1633898,54028,309589,1713600,937205,104988,228435
2017-03-29,375436,106095,1212251,1720123,1215621,326713,1708850,219056,22777133,470245,156427,21406434,1945296.0,8048842,,,10928460,480540,865092,395007,101728,6117902,8684193,266171,77931,478859,,361293,375659,212044,4525584,1520672,,1839570,66599,377908,1723348,841555,178153,208709
2017-03-30,394414,77162,1041173,1879131,1149078,210112,1577509,247479,17589064,508883,130597,15261303,2524754.0,8678618,,,10921616,402068,697794,255180,99642,3499187,5968387,387126,101329,555909,,273344,222135,186502,4261769,1331151,,1652464,59866,276657,1436424,842372,179184,159901
2017-03-31,565648,161303,1746486,3005235,2631641,410433,1474396,376608,14599018,421315,186664,18777799,3046463.0,13003156,,,17352669,495413,1131182,443571,139207,3638021,5102842,406346,117683,676589,,462776,237977,197122,8005550,2883122,,2735913,76362,593293,1765827,1078491,156463,304541
2017-04-03,455509,95995,1563400,1883310,1433968,339512,1636969,260884,9078736,361622,727685,20079171,3096370.0,7217907,,,12432014,540159,925742,455623,117700,4622782,4636817,360072,95333,472853,,338438,234335,206149,4278325,1934464,,1662539,188189,438955,1386026,792174,167610,418820
2017-04-04,520198,80693,1338235,1600319,1531227,269093,2170607,429802,12144774,442094,1422519,48469234,2158054.0,6026978,,,11596800,610713,740368,477677,95496,4186740,5742858,257056,110396,458650,,522110,268006,167871,3348959,1759802,,1692209,82864,474014,1781240,1312852,157466,833142
2017-04-05,513493,69675,1304770,1617801,1841897,343939,1656950,332832,13331553,505898,552438,16120796,2549651.0,8040313,,,12337319,744237,912285,449409,134645,4088791,4359107,385940,131936,469812,,364004,389527,225512,3264087,1784150,,1828264,66304,432790,1573932,1081007,157726,461743
2017-04-06,478895,112450,1473407,1503967,1295099,275111,1710527,181649,11015302,371490,491996,12053731,2149064.0,6763283,,,10164535,522959,805724,491414,151125,3741054,4229139,361688,125560,490340,,564480,389861,206098,3891940,1776356,,1452489,82584,297777,1613680,962053,117120,332124
2017-04-07,514932,92884,1250073,1628814,1374151,274792,1218307,179896,7622653,332160,571070,14724734,2724329.0,7216313,,,9557643,444678,834585,384019,113386,3324585,3998906,456514,109359,541597,,350667,221548,310352,2821123,1661034,,1720938,80677,211150,1570712,857105,106558,398650
2017-04-10,270234,97467,812197,1385941,1188139,263326,1143207,264241,8040331,247713,422694,10854133,2120782.0,4623506,,,5788704,507964,841785,462381,67245,2913719,2580200,292188,128492,377455,,247919,178350,144056,2176208,1099103,,1182535,76168,210470,1230997,525705,78985,288334
